"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 07:30:33 GMT 2023","Thu May 04 07:30:33 GMT 2023","164","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Thu May 04 07:30:35 GMT 2023","Thu May 04 07:30:36 GMT 2023","504","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Thu May 04 07:30:39 GMT 2023","Thu May 04 07:30:39 GMT 2023","175","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Thu May 04 07:30:32 GMT 2023","Thu May 04 07:30:32 GMT 2023","742","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Thu May 04 07:30:35 GMT 2023","Thu May 04 07:30:35 GMT 2023","173","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Thu May 04 07:30:36 GMT 2023","Thu May 04 07:30:37 GMT 2023","898","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Thu May 04 07:30:34 GMT 2023","Thu May 04 07:30:35 GMT 2023","961","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Thu May 04 07:30:36 GMT 2023","Thu May 04 07:30:36 GMT 2023","179","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Thu May 04 07:30:40 GMT 2023","Thu May 04 07:30:40 GMT 2023","195","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Thu May 04 07:30:37 GMT 2023","Thu May 04 07:30:38 GMT 2023","596","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Thu May 04 07:30:39 GMT 2023","Thu May 04 07:30:39 GMT 2023","323","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Thu May 04 07:30:38 GMT 2023","Thu May 04 07:30:38 GMT 2023","414","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Thu May 04 07:30:42 GMT 2023","Thu May 04 07:30:42 GMT 2023","83","tests.upload_file","test_upload_func","","","","test_unknown_link",""
