"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 22:41:02 GMT 2023","Wed May 03 22:41:03 GMT 2023","836","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Wed May 03 22:41:11 GMT 2023","Wed May 03 22:41:12 GMT 2023","248","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Wed May 03 22:41:08 GMT 2023","Wed May 03 22:41:09 GMT 2023","676","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Wed May 03 22:41:13 GMT 2023","Wed May 03 22:41:13 GMT 2023","114","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Wed May 03 22:41:10 GMT 2023","Wed May 03 22:41:10 GMT 2023","387","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Wed May 03 22:41:07 GMT 2023","Wed May 03 22:41:07 GMT 2023","221","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Wed May 03 22:41:07 GMT 2023","Wed May 03 22:41:08 GMT 2023","804","tests.rename_new_file","test_rename_file","","","","test_add_label",""
"passed","Wed May 03 22:41:04 GMT 2023","Wed May 03 22:41:06 GMT 2023","1816","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Wed May 03 22:41:06 GMT 2023","Wed May 03 22:41:07 GMT 2023","565","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Wed May 03 22:41:06 GMT 2023","Wed May 03 22:41:06 GMT 2023","157","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Wed May 03 22:41:09 GMT 2023","Wed May 03 22:41:09 GMT 2023","168","tests.search_file","test_search_file","","","","test_search_unknown_file",""
