"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 19 14:20:35 GMT 2023","Fri May 19 14:20:35 GMT 2023","0","tests.restore_file","test_restore_file","","","","test_restore_file",""
"broken","Fri May 19 14:20:38 GMT 2023","Fri May 19 14:20:38 GMT 2023","0","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 19 14:20:27 GMT 2023","Fri May 19 14:20:27 GMT 2023","205","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Fri May 19 14:20:24 GMT 2023","Fri May 19 14:20:24 GMT 2023","227","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 19 14:20:34 GMT 2023","Fri May 19 14:20:34 GMT 2023","202","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"broken","Fri May 19 14:20:33 GMT 2023","Fri May 19 14:20:33 GMT 2023","0","tests.moving_file","test_moving_file","","","","test_moving_file",""
"broken","Fri May 19 14:20:27 GMT 2023","Fri May 19 14:20:28 GMT 2023","786","tests.download_file","test_download_file","","","","test_download_file",""
"broken","Fri May 19 14:20:36 GMT 2023","Fri May 19 14:20:36 GMT 2023","423","tests.search_file","test_search_file","","","","test_search_file",""
"broken","Fri May 19 14:20:27 GMT 2023","Fri May 19 14:20:27 GMT 2023","0","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Fri May 19 14:20:38 GMT 2023","Fri May 19 14:20:38 GMT 2023","175","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 19 14:20:31 GMT 2023","Fri May 19 14:20:32 GMT 2023","501","tests.empty_trash","test_empty_trash","","","","test_empty_trash",""
"passed","Fri May 19 14:20:32 GMT 2023","Fri May 19 14:20:33 GMT 2023","274","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 19 14:20:32 GMT 2023","Fri May 19 14:20:32 GMT 2023","134","tests.empty_trash","test_empty_trash","","","","test_fail_empty_trash",""
"passed","Fri May 19 14:20:34 GMT 2023","Fri May 19 14:20:35 GMT 2023","777","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 19 14:20:29 GMT 2023","Fri May 19 14:20:31 GMT 2023","1468","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 19 14:20:33 GMT 2023","Fri May 19 14:20:33 GMT 2023","225","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Fri May 19 14:20:26 GMT 2023","Fri May 19 14:20:27 GMT 2023","241","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 19 14:20:37 GMT 2023","Fri May 19 14:20:38 GMT 2023","443","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 19 14:20:31 GMT 2023","Fri May 19 14:20:31 GMT 2023","298","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 19 14:20:26 GMT 2023","Fri May 19 14:20:26 GMT 2023","232","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 19 14:20:23 GMT 2023","Fri May 19 14:20:24 GMT 2023","949","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 19 14:20:24 GMT 2023","Fri May 19 14:20:25 GMT 2023","984","tests.create_new_file","test_create_file","","","","test_create_file",""
"broken","Fri May 19 14:20:26 GMT 2023","Fri May 19 14:20:26 GMT 2023","0","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 19 14:20:38 GMT 2023","Fri May 19 14:20:39 GMT 2023","139","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Fri May 19 14:20:36 GMT 2023","Fri May 19 14:20:36 GMT 2023","227","tests.restore_file","test_restore_file","","","","test_restore_unknown_file",""
"passed","Fri May 19 14:20:35 GMT 2023","Fri May 19 14:20:35 GMT 2023","139","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"broken","Fri May 19 14:20:28 GMT 2023","Fri May 19 14:20:29 GMT 2023","328","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 19 14:20:37 GMT 2023","Fri May 19 14:20:37 GMT 2023","229","tests.search_file","test_search_file","","","","test_search_unknown_file",""
