"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 09:29:38 GMT 2023","Fri May 05 09:29:40 GMT 2023","1713","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 05 09:29:44 GMT 2023","Fri May 05 09:29:44 GMT 2023","199","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Fri May 05 09:29:56 GMT 2023","Fri May 05 09:29:56 GMT 2023","227","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 05 09:29:35 GMT 2023","Fri May 05 09:29:36 GMT 2023","1154","tests.create_new_file","test_create_file","","","","test_create_file",""
"passed","Fri May 05 09:29:43 GMT 2023","Fri May 05 09:29:43 GMT 2023","246","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 05 09:29:46 GMT 2023","Fri May 05 09:29:48 GMT 2023","2189","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 05 09:29:41 GMT 2023","Fri May 05 09:29:42 GMT 2023","198","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 05 09:29:51 GMT 2023","Fri May 05 09:29:52 GMT 2023","696","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 05 09:29:54 GMT 2023","Fri May 05 09:29:54 GMT 2023","139","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 05 09:29:40 GMT 2023","Fri May 05 09:29:40 GMT 2023","176","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 05 09:29:57 GMT 2023","Fri May 05 09:29:58 GMT 2023","132","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Fri May 05 09:29:35 GMT 2023","Fri May 05 09:29:35 GMT 2023","187","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 05 09:29:33 GMT 2023","Fri May 05 09:29:34 GMT 2023","1657","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 05 09:29:44 GMT 2023","Fri May 05 09:29:44 GMT 2023","249","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 05 09:29:52 GMT 2023","Fri May 05 09:29:52 GMT 2023","124","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 05 09:29:52 GMT 2023","Fri May 05 09:29:53 GMT 2023","690","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Fri May 05 09:29:50 GMT 2023","Fri May 05 09:29:51 GMT 2023","1053","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Fri May 05 09:29:53 GMT 2023","Fri May 05 09:29:53 GMT 2023","199","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Fri May 05 09:29:36 GMT 2023","Fri May 05 09:29:37 GMT 2023","198","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 05 09:29:40 GMT 2023","Fri May 05 09:29:41 GMT 2023","765","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Fri May 05 09:29:54 GMT 2023","Fri May 05 09:29:54 GMT 2023","522","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 05 09:29:42 GMT 2023","Fri May 05 09:29:43 GMT 2023","1265","tests.edit_file","test_edit_file","","","","test_edit_file",""
