"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка удаления файла","Проверка функции удаления файла 'input.txt'","0","0","1","0","0"
"","Проверка загрузки файла","Проверка загрузился ли файл 'input.txt' по неверной ссылке","0","0","1","0","0"
"","Проверка загрузки файла","Проверка функции загрузки файла 'input.txt'","0","0","1","0","0"
"","Проверка скачивания файла","Проверка функции скачивания файла 'input.txt' с неизвестным ID","0","0","1","0","0"
"","Проверка скачивания файла","Проверка функции скачивания файла 'input.txt'","0","0","1","0","0"
"","Проверка удаления файла","Проверка удалился ли файл 'input.txt' с неверным ID","0","0","1","0","0"
