"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 16 13:42:21 GMT 2023","Tue May 16 13:42:21 GMT 2023","378","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Tue May 16 13:42:20 GMT 2023","Tue May 16 13:42:20 GMT 2023","101","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Tue May 09 07:49:57 GMT 2023","Tue May 09 07:49:57 GMT 2023","564","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Tue May 16 13:42:16 GMT 2023","Tue May 16 13:42:17 GMT 2023","252","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Tue May 16 13:42:19 GMT 2023","Tue May 16 13:42:20 GMT 2023","616","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Tue May 16 13:42:19 GMT 2023","Tue May 16 13:42:19 GMT 2023","168","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"broken","Tue May 16 13:42:20 GMT 2023","Tue May 16 13:42:20 GMT 2023","0","tests.restore_file","test_restore_file","","","","test_restore_file",""
"passed","Tue May 16 13:42:13 GMT 2023","Tue May 16 13:42:13 GMT 2023","185","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Tue May 16 13:42:11 GMT 2023","Tue May 16 13:42:11 GMT 2023","174","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Tue May 16 13:42:15 GMT 2023","Tue May 16 13:42:16 GMT 2023","1426","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Tue May 16 13:42:17 GMT 2023","Tue May 16 13:42:17 GMT 2023","488","tests.empty_trash","test_empty_trash","","","","test_empty_trash",""
"passed","Tue May 16 13:42:12 GMT 2023","Tue May 16 13:42:13 GMT 2023","198","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"broken","Tue May 16 13:42:13 GMT 2023","Tue May 16 13:42:13 GMT 2023","0","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Tue May 16 13:42:20 GMT 2023","Tue May 16 13:42:20 GMT 2023","153","tests.restore_file","test_restore_file","","","","test_restore_unknown_file",""
"passed","Tue May 16 13:42:21 GMT 2023","Tue May 16 13:42:21 GMT 2023","166","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"broken","Tue May 16 13:42:22 GMT 2023","Tue May 16 13:42:22 GMT 2023","0","tests.upload_file","test_upload_func","","","","test_upload_file",""
"broken","Tue May 16 13:42:14 GMT 2023","Tue May 16 13:42:15 GMT 2023","641","tests.download_file","test_download_file","","","","test_download_file",""
"broken","Tue May 16 13:42:13 GMT 2023","Tue May 16 13:42:13 GMT 2023","0","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Tue May 16 13:42:17 GMT 2023","Tue May 16 13:42:18 GMT 2023","96","tests.empty_trash","test_empty_trash","","","","test_fail_empty_trash",""
"passed","Tue May 16 13:42:22 GMT 2023","Tue May 16 13:42:22 GMT 2023","140","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Tue May 16 13:42:11 GMT 2023","Tue May 16 13:42:12 GMT 2023","809","tests.create_new_file","test_create_file","","","","test_create_file",""
"broken","Tue May 16 13:42:18 GMT 2023","Tue May 16 13:42:18 GMT 2023","0","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Tue May 16 13:42:10 GMT 2023","Tue May 16 13:42:11 GMT 2023","918","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Tue May 16 13:42:18 GMT 2023","Tue May 16 13:42:18 GMT 2023","182","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Tue May 16 13:42:18 GMT 2023","Tue May 16 13:42:18 GMT 2023","212","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Tue May 16 13:42:23 GMT 2023","Tue May 16 13:42:23 GMT 2023","107","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Tue May 16 13:42:21 GMT 2023","Tue May 16 13:42:22 GMT 2023","388","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Tue May 16 13:42:14 GMT 2023","Tue May 16 13:42:14 GMT 2023","182","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
