"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 07:38:34 GMT 2023","Thu May 04 07:38:34 GMT 2023","147","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Thu May 04 07:38:27 GMT 2023","Thu May 04 07:38:27 GMT 2023","157","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Thu May 04 07:38:37 GMT 2023","Thu May 04 07:38:37 GMT 2023","220","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Thu May 04 07:38:28 GMT 2023","Thu May 04 07:38:30 GMT 2023","1433","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Thu May 04 07:38:38 GMT 2023","Thu May 04 07:38:38 GMT 2023","112","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Thu May 04 07:38:30 GMT 2023","Thu May 04 07:38:30 GMT 2023","159","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Thu May 04 07:38:35 GMT 2023","Thu May 04 07:38:35 GMT 2023","101","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Thu May 04 07:38:31 GMT 2023","Thu May 04 07:38:33 GMT 2023","1164","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Thu May 04 07:38:34 GMT 2023","Thu May 04 07:38:34 GMT 2023","581","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Thu May 04 07:38:31 GMT 2023","Thu May 04 07:38:31 GMT 2023","191","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Thu May 04 07:38:26 GMT 2023","Thu May 04 07:38:27 GMT 2023","752","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Thu May 04 07:38:35 GMT 2023","Thu May 04 07:38:35 GMT 2023","381","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Thu May 04 07:38:33 GMT 2023","Thu May 04 07:38:33 GMT 2023","678","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Thu May 04 07:38:30 GMT 2023","Thu May 04 07:38:31 GMT 2023","471","tests.download_file","test_download_file","","","","test_download_file",""
