"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 14:02:33 GMT 2023","Thu May 04 14:02:35 GMT 2023","1542","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Thu May 04 14:02:41 GMT 2023","Thu May 04 14:02:41 GMT 2023","270","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Thu May 04 14:02:37 GMT 2023","Thu May 04 14:02:37 GMT 2023","119","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Thu May 04 14:02:30 GMT 2023","Thu May 04 14:02:32 GMT 2023","1364","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Thu May 04 14:02:27 GMT 2023","Thu May 04 14:02:28 GMT 2023","985","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Thu May 04 14:02:35 GMT 2023","Thu May 04 14:02:35 GMT 2023","335","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Thu May 04 14:02:42 GMT 2023","Thu May 04 14:02:42 GMT 2023","120","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Thu May 04 14:02:38 GMT 2023","Thu May 04 14:02:39 GMT 2023","456","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Thu May 04 14:02:28 GMT 2023","Thu May 04 14:02:29 GMT 2023","213","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Thu May 04 14:02:39 GMT 2023","Thu May 04 14:02:39 GMT 2023","166","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Thu May 04 14:02:33 GMT 2023","Thu May 04 14:02:33 GMT 2023","261","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Thu May 04 14:02:37 GMT 2023","Thu May 04 14:02:38 GMT 2023","582","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Thu May 04 14:02:36 GMT 2023","Thu May 04 14:02:37 GMT 2023","857","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Thu May 04 14:02:32 GMT 2023","Thu May 04 14:02:33 GMT 2023","561","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Thu May 04 14:02:32 GMT 2023","Thu May 04 14:02:32 GMT 2023","245","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Thu May 04 14:02:38 GMT 2023","Thu May 04 14:02:38 GMT 2023","202","tests.search_file","test_search_file","","","","test_search_unknown_file",""
