"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 09:35:36 GMT 2023","Tue May 02 09:35:38 GMT 2023","1874","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Tue May 02 09:35:38 GMT 2023","Tue May 02 09:35:40 GMT 2023","1540","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Tue May 02 09:35:33 GMT 2023","Tue May 02 09:35:35 GMT 2023","2916","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Tue May 02 09:35:36 GMT 2023","Tue May 02 09:35:36 GMT 2023","189","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Tue May 02 09:35:40 GMT 2023","Tue May 02 09:35:41 GMT 2023","1497","tests.upload_file","test_upload_func","","","","test_unknown_link",""
