"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 18:07:52 GMT 2023","Fri May 05 18:07:52 GMT 2023","195","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 05 18:07:48 GMT 2023","Fri May 05 18:07:49 GMT 2023","502","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 05 18:07:35 GMT 2023","Fri May 05 18:07:36 GMT 2023","699","tests.create_new_file","test_create_file","","","","test_create_file",""
"passed","Fri May 05 18:07:42 GMT 2023","Fri May 05 18:07:42 GMT 2023","143","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Fri May 05 18:07:49 GMT 2023","Fri May 05 18:07:50 GMT 2023","542","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Fri May 05 18:07:53 GMT 2023","Fri May 05 18:07:53 GMT 2023","87","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Fri May 05 18:07:34 GMT 2023","Fri May 05 18:07:35 GMT 2023","659","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 05 18:07:49 GMT 2023","Fri May 05 18:07:49 GMT 2023","83","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 05 18:07:51 GMT 2023","Fri May 05 18:07:51 GMT 2023","94","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 05 18:07:35 GMT 2023","Fri May 05 18:07:35 GMT 2023","145","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 05 18:07:50 GMT 2023","Fri May 05 18:07:51 GMT 2023","370","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 05 18:07:50 GMT 2023","Fri May 05 18:07:50 GMT 2023","151","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Fri May 05 18:07:48 GMT 2023","Fri May 05 18:07:48 GMT 2023","141","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Fri May 05 18:07:39 GMT 2023","Fri May 05 18:07:39 GMT 2023","155","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"failed","Fri May 05 18:07:43 GMT 2023","Fri May 05 18:07:43 GMT 2023","250","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 05 18:07:42 GMT 2023","Fri May 05 18:07:42 GMT 2023","370","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Fri May 05 18:07:45 GMT 2023","Fri May 05 18:07:47 GMT 2023","1799","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 05 18:07:40 GMT 2023","Fri May 05 18:07:41 GMT 2023","826","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Fri May 05 18:07:38 GMT 2023","Fri May 05 18:07:38 GMT 2023","767","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 05 18:07:44 GMT 2023","Fri May 05 18:07:44 GMT 2023","183","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 05 18:07:43 GMT 2023","Fri May 05 18:07:43 GMT 2023","155","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 05 18:07:43 GMT 2023","Fri May 05 18:07:44 GMT 2023","203","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 05 18:07:36 GMT 2023","Fri May 05 18:07:36 GMT 2023","159","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 05 18:07:44 GMT 2023","Fri May 05 18:07:44 GMT 2023","150","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
