"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 19 14:16:46 GMT 2023","Fri May 19 14:16:46 GMT 2023","0","tests.restore_file","test_restore_file","","","","test_restore_file",""
"passed","Fri May 19 14:16:38 GMT 2023","Fri May 19 14:16:38 GMT 2023","586","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 19 14:16:42 GMT 2023","Fri May 19 14:16:43 GMT 2023","1129","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 19 14:16:47 GMT 2023","Fri May 19 14:16:47 GMT 2023","151","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Fri May 19 14:16:48 GMT 2023","Fri May 19 14:16:48 GMT 2023","93","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 19 14:16:45 GMT 2023","Fri May 19 14:16:46 GMT 2023","501","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 19 14:16:40 GMT 2023","Fri May 19 14:16:40 GMT 2023","149","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 19 14:16:45 GMT 2023","Fri May 19 14:16:45 GMT 2023","143","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Fri May 19 14:16:41 GMT 2023","Fri May 19 14:16:41 GMT 2023","130","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Fri May 19 14:16:40 GMT 2023","Fri May 19 14:16:40 GMT 2023","153","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 19 14:16:44 GMT 2023","Fri May 19 14:16:44 GMT 2023","167","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 19 14:16:48 GMT 2023","Fri May 19 14:16:48 GMT 2023","83","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"broken","Fri May 19 14:16:42 GMT 2023","Fri May 19 14:16:42 GMT 2023","179","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"broken","Fri May 19 14:16:48 GMT 2023","Fri May 19 14:16:48 GMT 2023","0","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 19 14:16:44 GMT 2023","Fri May 19 14:16:44 GMT 2023","81","tests.empty_trash","test_empty_trash","","","","test_fail_empty_trash",""
"passed","Fri May 19 14:16:39 GMT 2023","Fri May 19 14:16:39 GMT 2023","175","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 19 14:16:46 GMT 2023","Fri May 19 14:16:47 GMT 2023","145","tests.restore_file","test_restore_file","","","","test_restore_unknown_file",""
"passed","Fri May 19 14:16:47 GMT 2023","Fri May 19 14:16:48 GMT 2023","326","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 19 14:16:43 GMT 2023","Fri May 19 14:16:43 GMT 2023","214","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 19 14:16:46 GMT 2023","Fri May 19 14:16:46 GMT 2023","82","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 19 14:16:44 GMT 2023","Fri May 19 14:16:44 GMT 2023","312","tests.empty_trash","test_empty_trash","","","","test_empty_trash",""
"broken","Fri May 19 14:16:40 GMT 2023","Fri May 19 14:16:40 GMT 2023","0","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 19 14:16:39 GMT 2023","Fri May 19 14:16:40 GMT 2023","707","tests.create_new_file","test_create_file","","","","test_create_file",""
"broken","Fri May 19 14:16:45 GMT 2023","Fri May 19 14:16:45 GMT 2023","0","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 19 14:16:45 GMT 2023","Fri May 19 14:16:45 GMT 2023","146","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"broken","Fri May 19 14:16:47 GMT 2023","Fri May 19 14:16:47 GMT 2023","306","tests.search_file","test_search_file","","","","test_search_file",""
"broken","Fri May 19 14:16:40 GMT 2023","Fri May 19 14:16:40 GMT 2023","0","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"broken","Fri May 19 14:16:41 GMT 2023","Fri May 19 14:16:41 GMT 2023","420","tests.download_file","test_download_file","","","","test_download_file",""
