"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:33:53 GMT 2023","Fri May 05 15:33:55 GMT 2023","2119","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Fri May 05 15:34:03 GMT 2023","Fri May 05 15:34:05 GMT 2023","2001","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 05 15:34:09 GMT 2023","Fri May 05 15:34:10 GMT 2023","473","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 05 15:33:47 GMT 2023","Fri May 05 15:33:48 GMT 2023","967","tests.create_new_file","test_create_file","","","","test_create_file",""
"passed","Fri May 05 15:33:51 GMT 2023","Fri May 05 15:33:52 GMT 2023","235","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 05 15:33:59 GMT 2023","Fri May 05 15:34:00 GMT 2023","1277","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 05 15:34:11 GMT 2023","Fri May 05 15:34:12 GMT 2023","272","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 05 15:34:01 GMT 2023","Fri May 05 15:34:01 GMT 2023","196","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Fri May 05 15:34:08 GMT 2023","Fri May 05 15:34:08 GMT 2023","120","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 05 15:34:07 GMT 2023","Fri May 05 15:34:07 GMT 2023","757","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 05 15:34:06 GMT 2023","Fri May 05 15:34:06 GMT 2023","187","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Fri May 05 15:34:10 GMT 2023","Fri May 05 15:34:10 GMT 2023","150","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 05 15:33:57 GMT 2023","Fri May 05 15:33:57 GMT 2023","189","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Fri May 05 15:33:57 GMT 2023","Fri May 05 15:33:58 GMT 2023","700","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Fri May 05 15:34:08 GMT 2023","Fri May 05 15:34:08 GMT 2023","674","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Fri May 05 15:34:00 GMT 2023","Fri May 05 15:34:00 GMT 2023","287","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 05 15:33:45 GMT 2023","Fri May 05 15:33:46 GMT 2023","1133","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 05 15:33:50 GMT 2023","Fri May 05 15:33:51 GMT 2023","1494","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 05 15:34:13 GMT 2023","Fri May 05 15:34:13 GMT 2023","124","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Fri May 05 15:34:01 GMT 2023","Fri May 05 15:34:01 GMT 2023","278","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 05 15:33:48 GMT 2023","Fri May 05 15:33:48 GMT 2023","210","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 05 15:33:46 GMT 2023","Fri May 05 15:33:47 GMT 2023","210","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 05 15:33:58 GMT 2023","Fri May 05 15:33:58 GMT 2023","289","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 05 15:34:09 GMT 2023","Fri May 05 15:34:09 GMT 2023","283","tests.search_file","test_search_file","","","","test_search_unknown_file",""
