"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 09:39:18 GMT 2023","Tue May 02 09:39:19 GMT 2023","1474","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Tue May 02 09:39:16 GMT 2023","Tue May 02 09:39:17 GMT 2023","1850","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Tue May 02 09:39:19 GMT 2023","Tue May 02 09:39:20 GMT 2023","1209","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Tue May 02 09:39:15 GMT 2023","Tue May 02 09:39:15 GMT 2023","171","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Tue May 02 09:39:13 GMT 2023","Tue May 02 09:39:15 GMT 2023","2316","tests.delete_file","test_delete_func","","","","test_delete_file",""
