"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 05 18:53:38 GMT 2023","Fri May 05 18:53:38 GMT 2023","184","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 05 18:53:44 GMT 2023","Fri May 05 18:53:45 GMT 2023","355","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 05 18:53:39 GMT 2023","Fri May 05 18:53:40 GMT 2023","1100","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 05 18:53:44 GMT 2023","Fri May 05 18:53:44 GMT 2023","165","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"broken","Fri May 05 18:53:44 GMT 2023","Fri May 05 18:53:44 GMT 2023","280","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Fri May 05 18:53:41 GMT 2023","Fri May 05 18:53:42 GMT 2023","165","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Fri May 05 18:53:37 GMT 2023","Fri May 05 18:53:37 GMT 2023","149","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 05 18:53:45 GMT 2023","Fri May 05 18:53:45 GMT 2023","96","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"broken","Fri May 05 18:53:45 GMT 2023","Fri May 05 18:53:45 GMT 2023","0","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 05 18:53:35 GMT 2023","Fri May 05 18:53:35 GMT 2023","157","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 05 18:53:42 GMT 2023","Fri May 05 18:53:43 GMT 2023","572","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 05 18:53:40 GMT 2023","Fri May 05 18:53:40 GMT 2023","222","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 05 18:53:34 GMT 2023","Fri May 05 18:53:35 GMT 2023","756","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 05 18:53:43 GMT 2023","Fri May 05 18:53:43 GMT 2023","98","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 05 18:53:41 GMT 2023","Fri May 05 18:53:41 GMT 2023","94","tests.empty_trash","test_empty_trash","","","","test_fail_empty_trash",""
"passed","Fri May 05 18:53:43 GMT 2023","Fri May 05 18:53:43 GMT 2023","147","tests.restore_file","test_restore_file","","","","test_restore_unknown_file",""
"broken","Fri May 05 18:53:38 GMT 2023","Fri May 05 18:53:38 GMT 2023","390","tests.download_file","test_download_file","","","","test_download_file",""
"broken","Fri May 05 18:53:37 GMT 2023","Fri May 05 18:53:37 GMT 2023","0","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Fri May 05 18:53:37 GMT 2023","Fri May 05 18:53:38 GMT 2023","146","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Fri May 05 18:53:42 GMT 2023","Fri May 05 18:53:42 GMT 2023","154","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Fri May 05 18:53:36 GMT 2023","Fri May 05 18:53:36 GMT 2023","649","tests.create_new_file","test_create_file","","","","test_create_file",""
"broken","Fri May 05 18:53:43 GMT 2023","Fri May 05 18:53:43 GMT 2023","0","tests.restore_file","test_restore_file","","","","test_restore_file",""
"broken","Fri May 05 18:53:42 GMT 2023","Fri May 05 18:53:42 GMT 2023","0","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 05 18:53:40 GMT 2023","Fri May 05 18:53:41 GMT 2023","528","tests.empty_trash","test_empty_trash","","","","test_empty_trash",""
"passed","Fri May 05 18:53:41 GMT 2023","Fri May 05 18:53:41 GMT 2023","185","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 05 18:53:36 GMT 2023","Fri May 05 18:53:37 GMT 2023","139","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"broken","Fri May 05 18:53:37 GMT 2023","Fri May 05 18:53:37 GMT 2023","0","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 05 18:53:45 GMT 2023","Fri May 05 18:53:45 GMT 2023","105","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
