"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 21 13:17:35 GMT 2023","Sun May 21 13:17:35 GMT 2023","187","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Sun May 21 13:17:31 GMT 2023","Sun May 21 13:17:33 GMT 2023","1352","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Sun May 21 13:17:22 GMT 2023","Sun May 21 13:17:23 GMT 2023","1061","tests.create_new_file","test_create_file","","","","test_create_file",""
"passed","Sun May 21 13:17:23 GMT 2023","Sun May 21 13:17:23 GMT 2023","208","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Sun May 21 13:17:46 GMT 2023","Sun May 21 13:17:46 GMT 2023","452","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Sun May 21 13:17:34 GMT 2023","Sun May 21 13:17:35 GMT 2023","252","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Sun May 21 13:17:47 GMT 2023","Sun May 21 13:17:47 GMT 2023","150","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Sun May 21 13:17:42 GMT 2023","Sun May 21 13:17:44 GMT 2023","2579","tests.restore_file","test_restore_file","","","","test_restore_file",""
"passed","Sun May 21 13:17:49 GMT 2023","Sun May 21 13:17:49 GMT 2023","150","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Sun May 21 13:17:31 GMT 2023","Sun May 21 13:17:31 GMT 2023","242","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Sun May 21 13:17:30 GMT 2023","Sun May 21 13:17:30 GMT 2023","184","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_unknown_file_to_trash",""
"passed","Sun May 21 13:17:45 GMT 2023","Sun May 21 13:17:45 GMT 2023","187","tests.restore_file","test_restore_file","","","","test_restore_unknown_file",""
"passed","Sun May 21 13:17:30 GMT 2023","Sun May 21 13:17:31 GMT 2023","749","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Sun May 21 13:17:36 GMT 2023","Sun May 21 13:17:39 GMT 2023","2295","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Sun May 21 13:17:45 GMT 2023","Sun May 21 13:17:45 GMT 2023","415","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Sun May 21 13:17:34 GMT 2023","Sun May 21 13:17:34 GMT 2023","148","tests.empty_trash","test_empty_trash","","","","test_fail_empty_trash",""
"passed","Sun May 21 13:17:39 GMT 2023","Sun May 21 13:17:39 GMT 2023","207","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"passed","Sun May 21 13:17:33 GMT 2023","Sun May 21 13:17:34 GMT 2023","423","tests.empty_trash","test_empty_trash","","","","test_empty_trash",""
"passed","Sun May 21 13:17:20 GMT 2023","Sun May 21 13:17:21 GMT 2023","1087","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Sun May 21 13:17:48 GMT 2023","Sun May 21 13:17:48 GMT 2023","256","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Sun May 21 13:17:39 GMT 2023","Sun May 21 13:17:40 GMT 2023","721","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Sun May 21 13:17:33 GMT 2023","Sun May 21 13:17:33 GMT 2023","306","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Sun May 21 13:17:25 GMT 2023","Sun May 21 13:17:26 GMT 2023","968","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Sun May 21 13:17:27 GMT 2023","Sun May 21 13:17:29 GMT 2023","2023","tests.delete_to_trash","test_delete_to_the_trash","","","","test_delete_file_to_trash",""
"passed","Sun May 21 13:17:21 GMT 2023","Sun May 21 13:17:21 GMT 2023","216","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Sun May 21 13:17:40 GMT 2023","Sun May 21 13:17:40 GMT 2023","149","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Sun May 21 13:17:46 GMT 2023","Sun May 21 13:17:46 GMT 2023","198","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Sun May 21 13:17:26 GMT 2023","Sun May 21 13:17:26 GMT 2023","213","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
