"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 14:02:46 GMT 2023","Thu May 04 14:02:47 GMT 2023","659","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Thu May 04 14:02:56 GMT 2023","Thu May 04 14:02:56 GMT 2023","224","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Thu May 04 14:02:52 GMT 2023","Thu May 04 14:02:52 GMT 2023","278","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Thu May 04 14:02:55 GMT 2023","Thu May 04 14:02:55 GMT 2023","96","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Thu May 04 14:02:52 GMT 2023","Thu May 04 14:02:52 GMT 2023","171","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Thu May 04 14:02:54 GMT 2023","Thu May 04 14:02:55 GMT 2023","343","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Thu May 04 14:02:50 GMT 2023","Thu May 04 14:02:50 GMT 2023","169","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Thu May 04 14:02:52 GMT 2023","Thu May 04 14:02:52 GMT 2023","156","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Thu May 04 14:02:49 GMT 2023","Thu May 04 14:02:49 GMT 2023","158","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Thu May 04 14:02:47 GMT 2023","Thu May 04 14:02:47 GMT 2023","146","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Thu May 04 14:02:53 GMT 2023","Thu May 04 14:02:54 GMT 2023","488","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Thu May 04 14:02:50 GMT 2023","Thu May 04 14:02:50 GMT 2023","390","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Thu May 04 14:02:53 GMT 2023","Thu May 04 14:02:53 GMT 2023","82","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Thu May 04 14:02:54 GMT 2023","Thu May 04 14:02:54 GMT 2023","150","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Thu May 04 14:02:58 GMT 2023","Thu May 04 14:02:58 GMT 2023","84","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Thu May 04 14:02:48 GMT 2023","Thu May 04 14:02:49 GMT 2023","849","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Thu May 04 14:02:53 GMT 2023","Thu May 04 14:02:53 GMT 2023","478","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Thu May 04 14:02:50 GMT 2023","Thu May 04 14:02:51 GMT 2023","911","tests.edit_file","test_edit_file","","","","test_edit_file",""
