"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 09:26:59 GMT 2023","Tue May 02 09:27:02 GMT 2023","3004","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Tue May 02 09:27:03 GMT 2023","Tue May 02 09:27:05 GMT 2023","2050","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Tue May 02 09:27:05 GMT 2023","Tue May 02 09:27:06 GMT 2023","1440","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Tue May 02 09:27:02 GMT 2023","Tue May 02 09:27:03 GMT 2023","163","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Tue May 02 09:27:07 GMT 2023","Tue May 02 09:27:08 GMT 2023","1336","tests.upload_file","test_upload_func","","","","test_unknown_link",""
