"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 06:54:25 GMT 2023","Wed May 03 06:54:26 GMT 2023","1231","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Wed May 03 06:54:23 GMT 2023","Wed May 03 06:54:23 GMT 2023","341","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Wed May 03 06:54:30 GMT 2023","Wed May 03 06:54:30 GMT 2023","413","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Wed May 03 06:54:27 GMT 2023","Wed May 03 06:54:28 GMT 2023","760","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Wed May 03 06:54:32 GMT 2023","Wed May 03 06:54:32 GMT 2023","143","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Wed May 03 06:54:28 GMT 2023","Wed May 03 06:54:28 GMT 2023","349","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Wed May 03 06:54:26 GMT 2023","Wed May 03 06:54:27 GMT 2023","443","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Wed May 03 06:54:22 GMT 2023","Wed May 03 06:54:23 GMT 2023","922","tests.delete_file","test_delete_func","","","","test_delete_file",""
