"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:16:34 GMT 2023","Fri May 05 15:16:35 GMT 2023","236","tests.create_new_file","test_create_file","","","","test_create_unknown_file",""
"passed","Fri May 05 15:16:32 GMT 2023","Fri May 05 15:16:33 GMT 2023","937","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Fri May 05 15:16:48 GMT 2023","Fri May 05 15:16:49 GMT 2023","713","tests.search_file","test_search_file","","","","test_search_file",""
"passed","Fri May 05 15:16:36 GMT 2023","Fri May 05 15:16:38 GMT 2023","1555","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Fri May 05 15:16:49 GMT 2023","Fri May 05 15:16:50 GMT 2023","460","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Fri May 05 15:16:33 GMT 2023","Fri May 05 15:16:34 GMT 2023","1068","tests.create_new_file","test_create_file","","","","test_create_file",""
"passed","Fri May 05 15:16:42 GMT 2023","Fri May 05 15:16:42 GMT 2023","270","tests.get_file_info","test_get_file_info","","","","test_get_file_info",""
"passed","Fri May 05 15:16:33 GMT 2023","Fri May 05 15:16:33 GMT 2023","224","tests.add_new_folder","test_add_folder","","","","test_add_unknown_folder",""
"passed","Fri May 05 15:16:39 GMT 2023","Fri May 05 15:16:40 GMT 2023","285","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Fri May 05 15:16:47 GMT 2023","Fri May 05 15:16:47 GMT 2023","718","tests.rename_new_file","test_rename_file","","","","test_rename_file",""
"passed","Fri May 05 15:16:46 GMT 2023","Fri May 05 15:16:46 GMT 2023","196","tests.moving_file","test_moving_file","","","","test_moving_unknown_file",""
"broken","Fri May 05 15:16:44 GMT 2023","Fri May 05 15:16:45 GMT 2023","297","tests.moving_file","test_moving_file","","","","test_moving_file",""
"passed","Fri May 05 15:16:50 GMT 2023","Fri May 05 15:16:50 GMT 2023","159","tests.search_my_folder","test_search_folder","","","","test_search_folder_without_token",""
"passed","Fri May 05 15:16:40 GMT 2023","Fri May 05 15:16:41 GMT 2023","1243","tests.edit_file","test_edit_file","","","","test_edit_file",""
"passed","Fri May 05 15:16:42 GMT 2023","Fri May 05 15:16:43 GMT 2023","220","tests.get_file_info","test_get_file_info","","","","test_get_unknown_file_info",""
"passed","Fri May 05 15:16:53 GMT 2023","Fri May 05 15:16:54 GMT 2023","136","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Fri May 05 15:16:48 GMT 2023","Fri May 05 15:16:48 GMT 2023","134","tests.rename_new_file","test_rename_file","","","","test_rename_unknown_file",""
"passed","Fri May 05 15:16:39 GMT 2023","Fri May 05 15:16:39 GMT 2023","568","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Fri May 05 15:16:52 GMT 2023","Fri May 05 15:16:52 GMT 2023","269","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Fri May 05 15:16:38 GMT 2023","Fri May 05 15:16:38 GMT 2023","225","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Fri May 05 15:16:41 GMT 2023","Fri May 05 15:16:42 GMT 2023","332","tests.edit_file","test_edit_file","","","","test_edit_unknown_file",""
"passed","Fri May 05 15:16:49 GMT 2023","Fri May 05 15:16:49 GMT 2023","212","tests.search_file","test_search_file","","","","test_search_unknown_file",""
